Date,From,To,Stage,Area,,,,,,,
1,0:00,2:30,1,,,,,,,,
1,0:00,2:30,2,"K7, P1",,,,,,,
1,0:00,2:30,3,,,,,,,,
1,0:00,2:30,4,,,,,,,,
1,0:00,2:30,5,K3,,,,,,,
1,0:00,2:30,6,K6,,,,,,,
1,0:00,2:30,7,,,,,,,,
1,0:00,2:30,8,,,,,,,,
1,2:00,4:30,1,,,,,,,,
1,2:00,4:30,2,"K7, P1",,,,,,,
1,2:00,4:30,3,,,,,,,,
1,2:00,4:30,4,,,,,,,,
1,2:00,4:30,5,,,,,,,,
1,2:00,4:30,6,,,,,,,,
1,2:00,4:30,7,,,,,,,,
1,2:00,4:30,8,,,,,,,,
1,4:00,6:30,1,K3,,,,,,,
1,4:00,6:30,2,K6,,,,,,,
1,4:00,6:30,3,,,,,,,,
1,4:00,6:30,4,,,,,,,,
1,4:00,6:30,5,,,,,,,,
1,4:00,6:30,6,,,,,,,,
1,4:00,6:30,7,,,,,,,,
1,4:00,6:30,8,,,,,,,,
1,6:00,8:30,1,K3,,,,,,,
1,6:00,8:30,2,K6,,,,,,,
1,6:00,8:30,3,,,,,,,,
1,6:00,8:30,4,,,,,,,,
1,6:00,8:30,5,,,,,,,,
1,6:00,8:30,6,"K2, K4, K5",,,,,,,
1,6:00,8:30,7,K1,,,,,,,
1,6:00,8:30,8,,,,,,,,
1,8:00,10:30,1,,,,,,,,
1,8:00,10:30,2,,,,,,,,
1,8:00,10:30,3,,,,,,,,
1,8:00,10:30,4,,,,,,,,
1,8:00,10:30,5,,,,,,,,
1,8:00,10:30,6,"K2, K4, K5",,,,,,,
1,8:00,10:30,7,K1,,,,,,,
1,8:00,10:30,8,,,,,,,,
1,10:00,12:30,1,,,,,,,,
1,10:00,12:30,2,,,,,,,,
1,10:00,12:30,3,,,,,,,,
1,10:00,12:30,4,,,,,,,,
1,10:00,12:30,5,"K7, P1",,,,,,,
1,10:00,12:30,6,,,,,,,,
1,10:00,12:30,7,,,,,,,,
1,10:00,12:30,8,,,,,,,,
1,12:00,14:30,1,,,,,,,,
1,12:00,14:30,2,"K2, K4, K5",,,,,,,
1,12:00,14:30,3,K1,,,,,,,
1,12:00,14:30,4,,,,,,,,
1,12:00,14:30,5,"K7, P1",,,,,,,
1,12:00,14:30,6,,,,,,,,
1,12:00,14:30,7,,,,,,,,
1,12:00,14:30,8,,,,,,,,
1,14:00,16:30,1,,,,,,,,
1,14:00,16:30,2,"K2, K4, K5",,,,,,,
1,14:00,16:30,3,K1,,,,,,,
